"Pacific.blue"	"Alexa"	"APC"
2193	773	2535
1332	821	455
2642	595	394
3084	905	1765
3064	436	492
2637	870	2563
549	536	372
2265	689	1962
1953	774	2439
1317	686	1826
2719	759	2540
3132	1069	458
848	855	462
518	488	1329
604	583	466
1596	840	2643
2156	497	1718
1395	846	2500
2585	883	458
2638	854	1845
3089	655	2353
2651	695	1931
2078	448	1754
525	703	563
2562	596	421
2158	652	1741
493	659	1759
3149	741	545
953	859	2053
1373	745	1811
824	786	604
732	770	518
2991	426	403
1644	768	485
812	542	2534
2552	790	470
2618	946	2513
2884	386	1950
691	664	1802
3148	628	2508
1573	559	443
1381	785	1806
830	628	1867
961	794	2652
1552	592	1141
775	537	2229
816	789	1869
2499	520	530
1756	570	1314
564	625	1678
2046	688	2424
1443	654	2434
864	734	1920
1926	478	2427
2070	835	862
2072	835	1690
1163	568	368
790	895	515
2007	594	455
2655	759	2608
2430	734	470
1441	585	1865
1976	889	2512
688	595	1302
2002	731	2508
2564	575	2377
3145	331	1853
3142	391	507
2115	687	383
3059	970	500
1417	748	2572
2504	793	492
1610	709	2711
468	561	2359
1551	541	2651
3121	322	2475
1479	481	417
2478	930	2386
2521	769	2452
1467	658	1992
459	552	424
1553	789	462
1500	615	2619
874	810	596
2048	475	302
1715	677	485
711	597	2509
2827	738	2055
631	680	2524
2801	733	2651
3103	890	1691
2171	805	492
2101	816	533
2568	578	2311
2431	658	2336
3121	627	2381
1601	969	647
2015	687	2542
2581	840	2406
1548	703	1850
1972	868	1903
2507	882	2306
598	563	2468
538	652	2510
943	842	2617
2779	718	1996
3365	797	2074
2634	694	1813
927	761	462
2271	956	2762
1650	763	2038
960	822	1903
1985	751	710
699	565	1896
2891	771	560
1740	970	2123
3171	416	1821
821	688	647
737	575	364
1528	750	2729
2590	546	361
1994	743	1638
3131	723	2504
3224	964	634
3100	855	2377
2559	1027	1750
1531	675	2539
1945	786	1750
738	638	1711
2020	653	2489
1710	584	1875
1624	777	2735
599	534	651
1580	631	2731
1545	562	2682
2161	694	2565
627	888	500
1478	646	1823
2188	790	629
2175	696	443
1411	692	2071
2151	771	1936
2195	665	1970
554	601	582
3167	512	1838
619	517	2455
3279	640	2624
3043	906	2459
2715	772	503
579	520	1727
894	681	2365
2785	644	1953
1233	575	391
1830	683	451
795	898	515
3058	521	2381
1473	816	439
2629	686	1840
2716	232	2535
2073	644	413
889	758	500
3093	476	478
2620	429	1877
1266	709	582
572	613	331
969	867	596
2742	808	2633
1987	734	1727
1300	831	443
1453	567	2558
3091	342	1780
2699	735	1958
1224	590	1450
1497	884	526
1606	600	1969
652	645	518
784	656	2445
3109	469	1720
1947	592	394
2810	519	1075
1533	559	1874
2820	960	541
699	686	640
1487	837	607
985	663	2517
2123	883	2468
1934	591	1724
481	587	1793
2814	595	2642
3124	421	2530
668	720	439
3212	944	2555
1387	726	600
2077	565	2019
724	844	485
1648	625	2672
2631	797	2158
275	516	1113
3173	841	2399
2547	863	2342
2514	594	391
2757	771	2614
602	530	2311
2042	760	622
1182	501	458
3278	613	515
696	600	2709
3015	436	2417
1471	766	578
2630	633	1683
3126	843	1576
2689	570	977
1969	479	458
2728	512	2524
2592	859	1937
1557	787	1968
2764	721	1839
1566	777	530
528	770	1728
609	806	1779
828	803	481
2130	933	1912
1987	846	1903
2536	459	541
2019	624	413
1528	820	1739
3185	430	1843
666	536	515
591	617	537
1562	694	2564
1564	756	1920
2619	590	1814
3142	827	2397
699	608	2333
649	500	567
599	712	2537
2769	756	511
1967	790	1827
666	661	1914
2501	880	507
1939	675	541
809	774	473
1607	727	2727
2383	911	349
1861	1028	1270
2689	656	2621
2163	657	2544
3136	712	1744
1697	649	2685
794	708	2470
2148	889	2638
1974	702	447
2412	601	515
1687	862	2054
3240	931	1929
1376	723	1877
1571	843	578
2514	702	462
3101	863	497
1436	583	2438
752	684	394
2483	950	1742
3353	523	2704
553	841	451
3043	804	560
2098	673	2574
2458	582	541
2539	883	2327
2590	450	2400
2185	781	2128
2223	723	2011
811	769	1938
2693	733	2437
1947	651	563
1311	674	451
2530	668	349
1590	578	2694
1908	680	466
1990	738	1729
1256	583	629
1611	863	682
2101	475	1875
2182	853	2573
904	811	545
2053	729	1915
642	550	2622
3116	1048	1818
2602	810	1890
785	766	1847
2088	618	1889
2400	873	2310
2197	897	1910
3117	490	2475
3437	853	2156
1416	721	2598
3021	887	458
742	772	2491
719	809	473
621	594	1827
2587	718	2420
971	479	1314
3293	245	1948
796	768	1800
2182	823	2076
1676	735	2141
3063	841	391
2524	560	500
1385	671	432
674	617	1584
1959	604	424
1875	359	1463
3018	616	2371
1911	786	2446
2015	569	541
444	608	383
2104	746	2478
1442	864	1687
763	759	1832
3283	349	1919
2545	782	1810
1845	489	1462
915	659	2623
1886	697	1495
1537	653	1868
1971	530	1877
717	631	379
1485	874	1791
3007	734	417
754	567	455
2543	603	2410
1545	749	2744
1988	700	1857
3116	778	593
689	486	1834
782	782	556
2438	774	1996
2078	883	2553
1322	623	428
676	568	2530
816	805	1956
2681	872	1916
1491	875	1905
582	757	2459
856	856	2539
2225	777	2669
2490	776	424
2174	735	1852
3121	882	2518
2734	688	2639
908	801	545
682	613	2496
2159	764	1924
833	848	2615
818	627	413
1665	730	2609
3008	1034	578
3131	313	440
501	674	503
2107	617	455
2628	698	1920
1708	893	2076
850	593	2041
3107	926	440
3161	589	2490
2846	688	2035
928	658	2518
2569	862	2418
3109	395	392
1745	517	1836
2166	649	1753
697	740	2622
586	797	541
933	666	552
823	765	1812
2170	826	1953
2090	838	2499
1320	700	2542
1545	727	589
772	792	2027
2290	1051	2695
929	736	1982
1452	667	451
2500	705	1674
3091	932	1813
2993	696	1579
2729	947	2679
2482	790	503
2161	730	582
2762	727	1949
1551	512	1752
1930	640	1776
2173	664	1895
1519	633	1856
2718	469	1890
2605	751	1873
1948	692	353
1798	725	2116
651	698	530
1271	754	1297
826	821	1793
1871	636	675
1483	600	1824
609	472	2414
1537	817	1955
1519	787	1818
1926	817	1726
1974	695	1796
820	834	2386
3126	702	2549
2760	556	1960
777	542	488
839	744	2677
1653	715	2753
2039	827	409
2581	836	2527
3242	505	2540
2655	627	346
2017	621	409
1166	752	462
2605	697	526
772	641	2519
2364	783	428
3117	749	1481
1619	612	1894
1889	462	507
2087	789	500
2513	587	455
505	519	383
2658	592	2624
723	625	488
1486	688	2546
1300	646	372
2579	767	429
1693	856	1916
843	763	1731
689	593	451
2488	679	2455
533	661	383
2679	461	368
2481	486	406
792	763	2656
709	759	432
2520	730	1713
2615	686	1892
776	694	1751
2703	808	2630
2584	670	305
2108	587	2559
824	738	1666
3138	900	2001
746	637	560
2079	722	526
953	780	611
702	810	2418
1533	854	485
2328	1023	2814
2154	702	2000
1944	603	394
654	803	2617
934	815	2665
1520	715	2600
1456	673	1777
1223	533	447
2583	597	2419
1628	849	533
2605	601	1854
837	428	353
2181	713	2567
699	819	2539
2008	562	436
2006	657	2370
1964	484	2153
2733	666	1818
2121	579	2593
700	873	361
1076	880	1912
900	805	2069
674	855	1820
3131	995	545
746	643	368
2104	645	1757
2953	501	2166
2761	612	1979
2590	654	324
1487	536	331
2553	490	1717
2567	576	2468
3057	743	347
1749	759	1161
1874	462	1772
727	542	2436
1069	890	1859
2216	876	2659
2658	562	402
2617	714	582
2522	737	2426
3164	574	633
3296	442	485
2715	741	2037
2089	918	2657
1321	732	1570
2788	639	1915
1658	930	1868
594	744	376
2125	752	1942
3072	349	2456
690	528	462
1874	772	503
3003	957	1491
2164	561	447
954	905	1419
2083	996	582
3053	163	2440
878	462	1875
2505	833	1758
2080	847	2534
2142	799	1937
2681	268	488
1729	723	2714
2729	935	1975
872	792	1767
792	634	1857
2131	749	2026
1982	779	1733
2650	610	2515
803	511	2480
2068	632	357
1530	809	1908
546	556	2279
2116	920	563
2719	839	1976
762	697	611
2192	884	2072
2753	478	2357
2014	796	1753
2471	487	320
1481	562	2574
2615	678	2500
2179	703	1047
3292	558	1897
2642	433	545
2243	710	470
701	590	481
1986	818	2555
969	695	2135
1392	651	2545
737	512	2638
2598	606	1759
1653	749	2693
1690	841	1971
1537	759	1854
3060	700	488
2553	812	2518
927	902	2221
737	704	2552
3116	351	2345
1698	631	1964
1391	635	1794
3189	217	1984
2679	579	1919
1566	676	2798
767	843	1946
2060	611	432
855	863	2713
745	591	2519
2049	699	1853
2730	415	512
2157	797	2576
2102	536	439
1897	584	349
2738	244	2444
1502	746	398
1543	754	2521
3283	376	2611
1932	634	1734
2560	400	2401
1372	481	2448
2716	959	2017
2721	546	2545
1696	594	1714
766	585	2375
1961	675	2404
3130	674	556
2544	471	439
2610	917	1932
1430	707	500
3117	1039	1706
521	320	2251
736	841	2593
741	698	2712
1943	610	406
708	536	361
2106	620	2511
2056	797	1823
851	829	1905
2117	713	2564
2127	835	398
654	703	1856
1882	688	503
870	648	1815
884	778	428
1545	838	1984
2078	760	2539
590	577	1783
1293	621	1235
3144	763	1657
1317	662	436
2685	578	455
1676	488	346
1892	421	1346
2089	616	2002
1628	640	361
1486	748	1998
2546	866	548
3165	433	533
2512	666	2299
2684	642	2431
2553	744	2379
879	712	1862
2545	861	2497
2210	1024	2671
1439	758	2522
2387	834	1356
1478	639	2611
827	641	526
2544	750	1725
2517	946	2452
745	690	530
3131	621	526
1497	600	1972
1348	564	485
2051	774	1898
2706	402	560
3293	894	553
2786	835	2497
2028	1020	1787
3148	363	1772
1482	607	1827
1692	634	2738
1957	639	418
2794	377	2623
758	609	424
760	796	2458
3319	805	1952
1521	784	600
2593	759	556
2873	703	537
813	575	582
1063	948	2111
3042	816	2338
1424	678	2592
1317	717	447
2099	898	1942
1511	725	2670
1475	644	604
1864	867	556
2608	705	2488
2006	815	455
2202	816	1864
1961	826	2481
2595	743	451
1801	780	507
659	692	1924
1403	473	2451
2130	911	563
2040	720	349
2569	617	1740
1411	739	1806
841	790	1914
3117	772	1778
1880	688	2194
2009	843	1910
2705	628	572
2062	664	1714
921	732	2667
676	857	401
2047	855	552
1622	705	2032
1497	773	2656
2710	336	2602
1592	712	1808
3252	153	2495
2678	751	838
1795	798	2884
625	777	2432
915	818	1709
516	420	1925
547	630	2445
2250	735	1347
1495	615	2591
1500	556	1698
2082	808	1897
2616	880	1868
1677	888	2140
2865	489	492
751	728	2432
2171	540	2494
968	787	1961
2006	605	2413
1924	742	1708
1541	718	2669
714	552	439
1006	807	2551
902	747	1881
870	857	1881
515	584	2245
2626	630	1828
2521	460	372
567	764	2508
2423	733	376
1409	578	1839
2103	863	593
2843	611	2123
1521	821	2654
2609	555	466
2989	376	1425
1492	794	1919
2981	1007	2117
3113	550	2518
647	610	511
1399	672	2459
1006	867	593
1659	721	2674
1513	709	1743
2957	551	372
2483	754	2302
2609	755	2536
1693	841	2738
2661	812	496
2025	705	1651
735	694	2020
859	858	2118
1382	620	1699
2092	547	1942
3013	446	1282
3304	518	1982
2619	875	1958
2668	485	1842
2481	524	2311
2598	540	1801
2726	773	1916
1464	769	2045
1395	497	349
787	578	537
2102	767	2544
2271	706	2637
1445	515	394
693	395	406
2004	724	1851
1926	641	2379
735	635	331
3068	808	2375
1483	830	541
700	846	518
2174	761	1015
2725	348	1921
2288	833	2733
1447	887	1757
2736	742	2441
1499	520	2714
851	730	548
2582	742	2545
2538	618	1842
590	643	402
2006	825	2395
1460	694	556
1445	730	545
804	740	511
2338	963	1898
2471	697	2365
502	674	2431
3031	1024	2341
2706	626	2384
1905	650	503
1602	903	2070
707	828	302
2674	654	2547
629	665	1943
2038	651	1859
2643	441	1802
1520	919	1692
1657	741	2658
3067	977	2478
880	740	436
2034	712	2470
2023	617	560
1579	693	2614
1624	755	2649
1013	676	515
854	698	1745
3032	658	2346
3267	758	1957
808	783	541
2601	1058	1863
2587	786	1831
1897	721	496
739	893	477
1924	895	1321
2685	764	2658
754	562	545
1749	809	2708
1603	548	1709
3260	922	2054
1649	884	1774
1039	555	492
893	685	2372
2997	967	437
669	679	589
2609	787	2428
3093	197	1750
484	727	1617
946	846	2314
2553	599	338
962	802	473
1691	567	1790
1278	802	492
2563	751	501
2680	717	511
1500	813	1959
1834	698	1629
3123	510	425
545	695	394
2620	943	361
2066	742	394
3090	1019	1903
1496	741	1878
2582	421	1810
2475	846	291
1647	725	1957
824	804	387
2604	494	2467
684	731	1706
3054	663	1737
1471	672	560
1469	690	372
479	742	379
2579	482	2391
2052	823	1871
795	639	2501
818	611	545
2597	677	496
2618	704	600
3205	488	1875
2723	492	647
2022	548	1744
1753	717	2757
1454	658	2551
1407	663	2565
2481	906	1543
1663	672	432
1554	656	394
1442	749	1813
2570	718	2391
633	730	2569
1507	649	2564
1959	725	1840
1418	707	1705
1914	707	1755
1426	714	2542
2672	269	2403
2597	553	1767
2528	813	2399
3109	697	413
2810	1098	2125
2488	815	500
2655	627	2516
497	493	1678
780	762	2793
804	494	353
2380	979	2297
2497	831	2409
2771	769	455
921	873	2039
2740	460	2612
1009	794	2701
2072	696	1822
1553	775	552
2558	885	2438
3042	599	1689
2570	752	537
827	637	511
651	791	1882
2196	696	2624
2561	703	424
1390	723	1771
3059	886	2487
2875	820	1270
2528	774	518
2672	595	1962
1989	727	1793
911	832	2167
672	724	1697
1534	666	2505
3225	847	582
1601	913	2723
496	608	466
451	597	481
1674	777	2080
1854	595	398
2788	700	2037
2019	783	2412
745	815	1975
1491	651	492
2784	1058	1815
866	844	1952
2655	638	1974
1695	911	2737
1893	571	320
2988	704	2351
2844	928	353
2590	559	1834
856	731	2452
936	564	515
2415	751	507
2678	613	451
2165	891	485
3326	586	622
1900	657	398
3073	160	470
1990	644	2373
3202	143	2517
2687	690	1971
3109	1038	2457
909	794	2072
2992	773	1632
2059	626	618
947	643	585
2586	969	2530
2548	902	1760
690	527	560
1617	644	2624
2781	596	2429
3335	1051	2023
2527	645	1757
1992	655	2415
1559	759	1901
1602	693	2049
2543	758	537
3021	589	500
2141	751	2603
1955	755	1610
1438	855	1885
1310	680	2581
3042	496	1535
666	542	466
1805	643	1326
639	657	485
2595	606	2436
2790	455	1990
897	609	432
617	843	439
1987	888	1719
786	683	2356
959	838	2550
3146	495	2500
2102	681	466
2000	698	1928
2528	526	2355
1346	863	1297
863	642	2615
2475	865	2427
2007	826	1757
811	804	2548
3107	960	1844
2574	717	2456
1580	796	2635
725	684	1908
2105	831	1728
2013	683	2251
728	707	451
2019	534	305
2585	506	2381
1082	835	447
1576	797	1861
772	742	2717
2071	500	379
1514	607	477
2569	768	1643
2673	707	1819
1948	638	432
735	570	1741
2073	539	455
2320	781	1232
3277	488	1967
1921	546	473
2648	685	2552
3227	530	585
494	616	2504
1613	757	2015
1307	624	428
696	775	462
2955	1053	482
1404	795	526
973	722	2069
2403	794	515
1943	654	1839
2658	834	2613
1924	755	2359
690	636	2412
2137	705	402
1451	713	364
3029	584	2424
1769	594	1295
2588	513	376
2719	211	1770
2126	647	2531
1441	740	2630
1556	834	316
1477	783	379
1576	722	856
1327	711	1872
2140	639	324
617	565	496
793	688	1619
1256	559	1309
855	689	1705
825	636	1984
1966	648	2452
2666	904	2646
644	663	1646
2668	749	2547
3091	807	485
694	630	443
794	709	2472
1313	663	406
3121	1021	1979
571	412	349
766	676	2660
1973	635	1478
3046	401	1573
1989	576	2421
886	688	511
2728	827	552
2035	667	2456
2663	454	1820
1601	803	357
3038	863	2301
3150	668	1799
615	629	447
616	786	1832
3048	555	2511
712	670	2602
