Alexa	APC	cid
773	2535	3
821	455	1
595	394	1
905	1765	2
436	492	1
870	2563	3
536	372	1
689	1962	2
774	2439	3
686	1826	2
759	2540	3
1069	458	1
855	462	1
488	1329	4
583	466	1
840	2643	3
497	1718	2
846	2500	3
883	458	1
854	1845	2
655	2353	3
695	1931	2
448	1754	2
703	563	1
596	421	1
652	1741	2
659	1759	2
741	545	1
859	2053	2
745	1811	2
786	604	1
770	518	1
426	403	1
768	485	1
542	2534	3
790	470	1
946	2513	3
386	1950	2
664	1802	2
628	2508	3
559	443	1
785	1806	2
628	1867	2
794	2652	3
592	1141	4
537	2229	3
789	1869	2
520	530	1
570	1314	4
625	1678	2
688	2424	3
654	2434	3
734	1920	2
478	2427	3
835	862	4
835	1690	2
568	368	1
895	515	1
594	455	1
759	2608	3
734	470	1
585	1865	2
889	2512	3
595	1302	4
731	2508	3
575	2377	3
331	1853	2
391	507	1
687	383	1
970	500	1
748	2572	3
793	492	1
709	2711	3
561	2359	3
541	2651	3
322	2475	3
481	417	1
930	2386	3
769	2452	3
658	1992	2
552	424	1
789	462	1
615	2619	3
810	596	1
475	302	1
677	485	1
597	2509	3
738	2055	2
680	2524	3
733	2651	3
890	1691	2
805	492	1
816	533	1
578	2311	3
658	2336	3
627	2381	3
969	647	1
687	2542	3
840	2406	3
703	1850	2
868	1903	2
882	2306	3
563	2468	3
652	2510	3
842	2617	3
718	1996	2
797	2074	2
694	1813	2
761	462	1
956	2762	3
763	2038	2
822	1903	2
751	710	1
565	1896	2
771	560	1
970	2123	2
416	1821	2
688	647	1
575	364	1
750	2729	3
546	361	1
743	1638	2
723	2504	3
964	634	1
855	2377	3
1027	1750	2
675	2539	3
786	1750	2
638	1711	2
653	2489	3
584	1875	2
777	2735	3
534	651	1
631	2731	3
562	2682	3
694	2565	3
888	500	1
646	1823	2
790	629	1
696	443	1
692	2071	2
771	1936	2
665	1970	2
601	582	1
512	1838	2
517	2455	3
640	2624	3
906	2459	3
772	503	1
520	1727	2
681	2365	3
644	1953	2
575	391	1
683	451	1
898	515	1
521	2381	3
816	439	1
686	1840	2
232	2535	3
644	413	1
758	500	1
476	478	1
429	1877	2
709	582	1
613	331	1
867	596	1
808	2633	3
734	1727	2
831	443	1
567	2558	3
342	1780	2
735	1958	2
590	1450	2
884	526	1
600	1969	2
645	518	1
656	2445	3
469	1720	2
592	394	1
519	1075	4
559	1874	2
960	541	1
686	640	1
837	607	1
663	2517	3
883	2468	3
591	1724	2
587	1793	2
595	2642	3
421	2530	3
720	439	1
944	2555	3
726	600	1
565	2019	2
844	485	1
625	2672	3
797	2158	2
516	1113	4
841	2399	3
863	2342	3
594	391	1
771	2614	3
530	2311	3
760	622	1
501	458	1
613	515	1
600	2709	3
436	2417	3
766	578	1
633	1683	2
843	1576	2
570	977	4
479	458	1
512	2524	3
859	1937	2
787	1968	2
721	1839	2
777	530	1
770	1728	2
806	1779	2
803	481	1
933	1912	2
846	1903	2
459	541	1
624	413	1
820	1739	2
430	1843	2
536	515	1
617	537	1
694	2564	3
756	1920	2
590	1814	2
827	2397	3
608	2333	3
500	567	1
712	2537	3
756	511	1
790	1827	2
661	1914	2
880	507	1
675	541	1
774	473	1
727	2727	3
911	349	1
1028	1270	4
656	2621	3
657	2544	3
712	1744	2
649	2685	3
708	2470	3
889	2638	3
702	447	1
601	515	1
862	2054	2
931	1929	2
723	1877	2
843	578	1
702	462	1
863	497	1
583	2438	3
684	394	1
950	1742	2
523	2704	3
841	451	1
804	560	1
673	2574	3
582	541	1
883	2327	3
450	2400	3
781	2128	2
723	2011	2
769	1938	2
733	2437	3
651	563	1
674	451	1
668	349	1
578	2694	3
680	466	1
738	1729	2
583	629	1
863	682	1
475	1875	2
853	2573	3
811	545	1
729	1915	2
550	2622	3
1048	1818	2
810	1890	2
766	1847	2
618	1889	2
873	2310	3
897	1910	2
490	2475	3
853	2156	2
721	2598	3
887	458	1
772	2491	3
809	473	1
594	1827	2
718	2420	3
479	1314	4
245	1948	5
768	1800	2
823	2076	2
735	2141	2
841	391	1
560	500	1
671	432	1
617	1584	2
604	424	1
359	1463	2
616	2371	3
786	2446	3
569	541	1
608	383	1
746	2478	3
864	1687	2
759	1832	2
349	1919	2
782	1810	2
489	1462	2
659	2623	3
697	1495	4
653	1868	2
530	1877	2
631	379	1
874	1791	2
734	417	1
567	455	1
603	2410	3
749	2744	3
700	1857	2
778	593	1
486	1834	2
782	556	1
774	1996	2
883	2553	3
623	428	1
568	2530	3
805	1956	2
872	1916	2
875	1905	2
757	2459	3
856	2539	3
777	2669	3
776	424	1
735	1852	2
882	2518	3
688	2639	3
801	545	1
613	2496	3
764	1924	2
848	2615	3
627	413	1
730	2609	3
1034	578	1
313	440	1
674	503	1
617	455	1
698	1920	2
893	2076	2
593	2041	2
926	440	1
589	2490	3
688	2035	2
658	2518	3
862	2418	3
395	392	1
517	1836	2
649	1753	2
740	2622	3
797	541	1
666	552	1
765	1812	2
826	1953	2
838	2499	3
700	2542	3
727	589	1
792	2027	2
1051	2695	3
736	1982	2
667	451	1
705	1674	2
932	1813	2
696	1579	2
947	2679	3
790	503	1
730	582	1
727	1949	2
512	1752	2
640	1776	2
664	1895	2
633	1856	2
469	1890	2
751	1873	2
692	353	1
725	2116	2
698	530	1
754	1297	4
821	1793	2
636	675	1
600	1824	2
472	2414	3
817	1955	2
787	1818	2
817	1726	2
695	1796	2
834	2386	3
702	2549	3
556	1960	2
542	488	1
744	2677	3
715	2753	3
827	409	1
836	2527	3
505	2540	3
627	346	1
621	409	1
